                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                 2.5963,                 5.0659,                 1.2542,                 2.4855,                 6.8608,                 1.1467,                0.41044,                0.44397,                 0.3592,                0.11806,                 2.4887,                  4.385,                 1.2236,                 2.3527,                 6.5327,                 1.1553,             0.00010211,             0.00010211,             0.00010211
                     71,                 2.5902,                 5.0932,                 1.2189,                 2.5412,                 6.8363,                 1.1347,                0.42453,                0.43966,                0.38785,                0.12273,                  2.475,                 4.3185,                  1.228,                  2.314,                 6.4993,                 1.1482,             0.00010188,             0.00010188,             0.00010188
                     72,                 2.5678,                 4.9716,                 1.2636,                 2.4503,                 6.8843,                 1.1478,                0.40187,                0.48276,                0.37065,                0.12474,                 2.5473,                 4.3415,                 1.2527,                 2.4081,                 6.4381,                 1.1702,             0.00010165,             0.00010165,             0.00010165
                     73,                 2.5686,                 5.0372,                 1.2625,                  2.455,                 6.8031,                 1.1403,                0.37111,                0.44397,                0.34723,                0.11618,                 2.5144,                 4.2783,                 1.2314,                 2.4188,                 6.3761,                 1.1667,             0.00010141,             0.00010141,             0.00010141
                     74,                   2.62,                 4.9622,                  1.275,                 2.5114,                 6.7138,                 1.1537,                 0.3488,                0.44828,                0.31735,                0.10096,                 2.4981,                 4.2581,                 1.2241,                 2.3076,                 6.3871,                 1.1576,             0.00010118,             0.00010118,             0.00010118
                     75,                 2.6418,                 4.9453,                 1.2538,                 2.5162,                 6.4813,                 1.1444,                0.40799,                0.45259,                0.36509,                0.11766,                  2.516,                 4.1282,                 1.2312,                 2.3468,                 6.2675,                 1.1632,             0.00010094,             0.00010094,             0.00010094
                     76,                 2.6426,                 4.8135,                 1.2613,                 2.4866,                 6.4611,                 1.1472,                0.37928,                 0.4569,                0.35547,                0.11789,                  2.499,                 4.1791,                  1.217,                 2.3361,                 6.2367,                 1.1504,             0.00010071,             0.00010071,             0.00010071
                     77,                 2.5737,                 4.7823,                  1.253,                  2.454,                 6.4684,                 1.1427,                0.35799,                0.43534,                0.33688,                  0.108,                 2.4889,                 4.1404,                 1.2272,                 2.3141,                  6.142,                 1.1429,             0.00010048,             0.00010048,             0.00010048
                     78,                 2.6136,                 4.8181,                  1.232,                 2.5734,                 6.6009,                 1.1363,                0.35675,                0.48768,                0.34132,                0.10835,                 2.5299,                 4.1656,                 1.2341,                 2.3745,                 6.1012,                 1.1564,             0.00010024,             0.00010024,             0.00010024
                     79,                 2.5831,                 4.8149,                  1.247,                 2.4545,                 6.3595,                 1.1363,                0.36449,                0.49138,                0.35308,                0.11661,                 2.5255,                 4.1212,                 1.2322,                 2.3184,                  5.983,                 1.1461,             0.00010001,             0.00010001,             0.00010001
                     80,                 2.6016,                 4.7163,                 1.2489,                 2.4582,                 6.3564,                 1.1236,                0.38764,                0.46113,                0.35034,                0.11289,                 2.4889,                 4.0573,                 1.2132,                 2.3416,                 5.9946,                 1.1397,             9.9776e-05,             9.9776e-05,             9.9776e-05
                     81,                 2.5614,                 4.6552,                 1.2256,                 2.4748,                 6.2407,                 1.1281,                0.40916,                0.48276,                0.36984,                0.11953,                 2.4865,                 3.9777,                 1.2089,                 2.3222,                 5.9433,                 1.1412,             9.9542e-05,             9.9542e-05,             9.9542e-05
                     82,                 2.6104,                 4.5969,                 1.2636,                 2.4873,                 6.2879,                 1.1449,                0.39555,                0.45413,                0.36288,                0.11987,                 2.4968,                 3.9701,                 1.2156,                 2.3456,                 5.9409,                 1.1435,             9.9309e-05,             9.9309e-05,             9.9309e-05
                     83,                 2.5636,                 4.6685,                 1.2515,                  2.495,                 6.3268,                 1.1445,                0.42432,                0.47845,                0.40117,                0.12443,                 2.4388,                 3.9279,                 1.2062,                 2.2811,                 5.8031,                  1.131,             9.9075e-05,             9.9075e-05,             9.9075e-05
                     84,                 2.5349,                 4.5885,                 1.2525,                 2.4186,                 6.3662,                 1.1418,                0.43072,                0.45259,                0.40533,                0.13473,                 2.4932,                 3.9348,                 1.2083,                 2.2868,                  5.737,                 1.1269,             9.8842e-05,             9.8842e-05,             9.8842e-05
                     85,                 2.5694,                 4.4711,                 1.2432,                 2.4522,                 6.0322,                 1.1291,                0.38487,                0.47845,                0.38881,                0.12898,                 2.4657,                  3.913,                 1.2039,                 2.3154,                 5.7172,                 1.1311,             9.8608e-05,             9.8608e-05,             9.8608e-05
                     86,                 2.4762,                 4.3402,                 1.2311,                 2.3576,                 5.8643,                 1.1167,                0.35535,                0.47046,                0.35522,                  0.119,                 2.5046,                 3.8918,                 1.2183,                 2.3635,                 5.7047,                 1.1413,             9.8374e-05,             9.8374e-05,             9.8374e-05
                     87,                 2.5234,                 4.4396,                 1.2087,                 2.4239,                 5.8929,                 1.0996,                0.38728,                0.49138,                0.37706,                0.12723,                 2.4605,                 3.8573,                 1.2071,                 2.3127,                   5.67,                 1.1295,             9.8141e-05,             9.8141e-05,             9.8141e-05
                     88,                 2.5134,                 4.3817,                 1.1974,                 2.4124,                  5.713,                 1.1032,                0.38999,                0.47414,                0.38682,                0.12782,                 2.4324,                 3.8398,                 1.1979,                 2.3033,                 5.5538,                 1.1202,             9.7907e-05,             9.7907e-05,             9.7907e-05
                     89,                 2.5882,                 4.4558,                  1.246,                 2.4846,                 5.9122,                 1.1376,                0.44638,                0.45876,                0.40106,                0.13569,                 2.4037,                 3.7895,                  1.189,                 2.2298,                 5.5354,                 1.1166,             9.7673e-05,             9.7673e-05,             9.7673e-05
                     90,                 2.5526,                 4.3627,                 1.2357,                 2.4343,                 5.7782,                 1.1152,                0.41075,                0.48276,                0.39556,                0.13328,                 2.4244,                 3.8072,                 1.1966,                 2.2654,                 5.5181,                 1.1175,              9.744e-05,              9.744e-05,              9.744e-05
                     91,                 2.5151,                 4.4166,                 1.2067,                  2.442,                 5.8511,                   1.12,                0.37969,                0.53017,                0.39091,                0.13644,                 2.4171,                 3.7314,                 1.1916,                 2.2152,                 5.3953,                 1.1208,             9.7206e-05,             9.7206e-05,             9.7206e-05
                     92,                 2.4978,                 4.2188,                  1.229,                  2.368,                 5.6614,                 1.1245,                0.40909,                0.51293,                0.41076,                0.13965,                  2.387,                 3.6598,                 1.1826,                 2.2038,                  5.376,                 1.1259,             9.6972e-05,             9.6972e-05,             9.6972e-05
                     93,                 2.5388,                 4.2456,                 1.2326,                 2.4352,                  5.735,                 1.1291,                0.45998,                0.53017,                0.46454,                0.15432,                  2.439,                 3.7513,                 1.1956,                  2.279,                  5.302,                 1.1205,             9.6739e-05,             9.6739e-05,             9.6739e-05
