                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    116,                 2.7915,                 5.3637,                0.96606,                0.46204,                0.48867,                0.39482,                0.12194,                 2.6001,                 4.5861,                0.92416,             9.1365e-05,             9.1365e-05,             9.1365e-05
                    117,                  2.862,                 5.4578,                0.96636,                0.40249,                0.53448,                0.36989,                0.11959,                   2.58,                 4.5947,                0.92043,             9.1131e-05,             9.1131e-05,             9.1131e-05
                    118,                 2.8295,                 5.6005,                0.97603,                  0.392,                0.52155,                0.36822,                0.11429,                 2.6402,                 4.6235,                0.92665,             9.0898e-05,             9.0898e-05,             9.0898e-05
                    119,                 2.7611,                 5.2728,                0.95737,                0.39624,                0.56897,                0.38516,                0.12657,                 2.5945,                 4.4948,                0.92293,             9.0664e-05,             9.0664e-05,             9.0664e-05
                    120,                 2.7831,                 5.0844,                0.95949,                0.43036,                0.49138,                0.38875,                0.13278,                 2.5707,                 4.4655,                0.92276,              9.043e-05,              9.043e-05,              9.043e-05
                    121,                 2.7471,                 5.1434,                0.97035,                0.40369,                0.52586,                0.35472,                0.11913,                 2.5984,                 4.4815,                0.92849,             9.0197e-05,             9.0197e-05,             9.0197e-05
                    122,                 2.7441,                 5.1531,                0.97146,                0.39056,                0.50275,                0.37576,                 0.1289,                 2.6526,                 4.5783,                0.93351,             8.9963e-05,             8.9963e-05,             8.9963e-05
                    123,                 2.8038,                 5.4343,                0.98619,                0.40473,                0.53448,                0.37307,                0.12385,                 2.5739,                 4.4444,                0.92922,              8.973e-05,              8.973e-05,              8.973e-05
                    124,                  2.766,                 5.2595,                0.95847,                0.44343,                0.51293,                0.40367,                0.12683,                 2.5338,                 4.4283,                0.92214,             8.9496e-05,             8.9496e-05,             8.9496e-05
                    125,                 2.7254,                 5.2284,                0.95052,                0.40592,                0.51247,                0.37849,                0.12303,                 2.5767,                 4.4427,                0.93031,             8.9262e-05,             8.9262e-05,             8.9262e-05
                    126,                 2.7655,                 5.0276,                0.95226,                0.43975,                0.54808,                0.44136,                0.13839,                 2.5779,                  4.458,                0.91816,             8.9029e-05,             8.9029e-05,             8.9029e-05
                    127,                 2.8098,                 5.1399,                0.95752,                0.42768,                0.54114,                 0.4242,                0.14394,                 2.5493,                 4.3626,                0.91743,             8.8795e-05,             8.8795e-05,             8.8795e-05
