date,Temp,Rain,RH,WD,WS,Solar,Lag1,Pak_PM10
5-Sep-11,15.86,0,68.79,104.44,0.41,282.78,18.85,19.72
6-Sep-11,13.96,0.01,64.19,252.85,1.93,253.43,19.72,19.74
7-Sep-11,13.79,0.01,67.5,231.56,2.63,232.95,19.74,19.75
8-Sep-11,17.88,0.01,65.53,290.93,1.28,105.09,19.75,15.19
9-Sep-11,17.79,0,65.35,227.74,2.87,246.36,15.19,14.38
10-Sep-11,21.25,0,66.93,142.65,0.63,344.17,14.38,12.29
11-Sep-11,17.04,0,66.18,215.04,2.18,285.19,12.29,12.78
12-Sep-11,13.21,0,63.62,215.49,1.17,273.32,12.78,17.92
13-Sep-11,16.54,0,64.58,230.88,1.7,348.82,17.92,20.59
14-Sep-11,17.38,0,66.78,209.28,1.63,408.9,20.59,23.76
15-Sep-11,18.04,0,66.95,97.19,0.55,274.45,23.76,17.28
16-Sep-11,15.42,0,64.14,230.59,2.65,247.92,17.28,19.58
17-Sep-11,19.58,0,63.2,183,0.8,296.48,19.58,14.23
18-Sep-11,18,0,62.18,227.49,1,198.88,14.23,9.49
19-Sep-11,10.04,0,71.35,216.66,1.48,147.72,9.49,9.75
20-Sep-11,15.38,0,63.14,254.63,0.98,329.32,9.75,15.48
21-Sep-11,19.63,0.1,72.3,126.85,1.08,179.56,15.48,17.98
22-Sep-11,15.58,0,63.03,219.08,1.76,172.95,17.98,7.94
23-Sep-11,19.75,0,67.58,149.5,0.56,236.32,7.94,10.56
24-Sep-11,17.17,0,65.49,230.19,2.09,328.73,10.56,14.58
25-Sep-11,9.63,0,74.6,182.88,0.58,123.01,14.58,10.21
26-Sep-11,18.63,0,62.2,246.12,0.77,47.44,10.21,10.94
27-Sep-11,18.33,0.09,66.58,243.68,2.84,260.4,10.94,14.33
28-Sep-11,12.96,0.03,71.09,224.23,2.09,120.05,14.33,13.89
29-Sep-11,16.29,0,64.28,216.98,2.26,267.69,13.89,12.7
30-Sep-11,16.83,0,65.38,217.73,1.8,333.4,12.7,15.9
1-Oct-11,18,0,65.32,230.51,1.86,316.72,15.9,19.17
2-Oct-11,14.25,0,67.88,244.08,2,204.37,19.17,20.35
3-Oct-11,12.29,0.05,65.76,223.37,1.58,101.85,20.35,22.86
4-Oct-11,14.38,0,70.18,194.54,1.76,316.98,22.86,20.83
5-Oct-11,18.75,0,63.13,273.08,1.28,230.49,20.83,14.34
6-Oct-11,16.25,0,66.26,227.38,2.23,352.71,14.34,12.37
7-Oct-11,12.33,0,69.68,99,0.8,220.39,12.37,14.62
8-Oct-11,8.54,0,70.16,184.36,0.43,146.95,14.62,11.06
9-Oct-11,8.58,0,66.58,194.37,1.07,172.68,11.06,6.63
10-Oct-11,19.96,0,65.17,210.66,2.41,257.51,6.63,9.29
11-Oct-11,12.88,0,70.93,228.61,1.63,101.41,9.29,8.78
12-Oct-11,20.5,0,64.15,233.74,1.9,260.14,8.78,12.35
13-Oct-11,15.96,0,67.46,191.24,1.69,227.23,12.35,9.17
14-Oct-11,18.88,0,68.7,220.82,2.36,194.32,9.17,10.45
15-Oct-11,18.54,0,67.37,228.83,2.81,204.46,10.45,8.88
16-Oct-11,17.21,0,66.29,215.81,1.47,275.97,8.88,9.01
17-Oct-11,19.96,0,64.05,119.45,0.48,265.7,9.01,9.22
18-Oct-11,20.79,0,63.1,106.7,0.55,368.03,9.22,11.85
19-Oct-11,15.33,0,68.45,165.99,1.47,169.75,11.85,10.35
20-Oct-11,20.79,0,62.23,144.19,0.39,243.22,10.35,15.59
21-Oct-11,19.13,0,67.33,199.21,2.38,305.35,15.59,33.36
22-Oct-11,20,0,65.23,213.52,2,329.35,33.36,26.76
23-Oct-11,14.58,0.02,66.1,220.8,1.92,298.25,26.76,12.82
24-Oct-11,13.79,0.01,67.93,200.29,1.19,101.87,12.82,10.47
25-Oct-11,12.13,0.04,68.48,211.73,2.98,171.91,10.47,8.95
26-Oct-11,18.38,0,68.24,121.15,0.76,170.97,8.95,9.44
27-Oct-11,14.79,0,65.39,194.45,1.5,374.53,9.44,10.02
28-Oct-11,12.42,0.02,68.13,232.53,2.24,307.14,10.02,13.07
29-Oct-11,19.92,0,64.6,242.53,1.58,223.03,13.07,10.56
30-Oct-11,20.08,0,64.02,87.79,0.72,365.99,10.56,10.97
31-Oct-11,14.17,0,64.81,112.89,0.66,275.5,10.97,11.73
1-Nov-11,16.5,0,70.64,114.65,0.37,216.77,11.73,13.27
2-Nov-11,23.21,0,67.11,90.37,0.86,323.3,13.27,10.72
